,sector,camera,ccd,column,row,tdb-ut,pixels_per_hour,ra,dec,vmag,hmag,sun_distance,obs_distance,sto_angle,time
341,1751,2,3,1728.8516671747757,1144.6399144350567,69.18441340774399,6.519085446653994,127.52824509080826,16.641924673621784,16.531052386866644,,3.215189972173267,2.237869394061409,2.490120745866443,4058.9216014910185
342,1751,2,3,1728.8347886078595,1146.21786281108,69.184413745216,6.518769278103198,127.51890258220821,16.643694994048666,16.53153406550239,,3.2155105688020216,2.2381519587835874,2.484264659999726,4058.931601491026
343,1751,2,3,1728.8178822354676,1147.7956519242991,69.184414084992,6.5184591655819,127.50956030693253,16.645464674984645,16.532021960330784,,3.2158311711588246,2.238434620524971,2.478410135459775,4058.941601491033
344,1751,2,3,1728.8009491267449,1149.3732870014799,69.184414424,6.518155045180727,127.50021823652814,16.647233728500446,16.532514645149202,,3.2161517792714274,2.2387173798621065,2.4725568901024366,4058.95160149104
345,1751,2,3,1728.7839903547545,1150.9507729739523,69.18441475916799,6.517856853047509,127.49087634428193,16.649002166337205,16.5330106936638,,3.2164723931078645,2.2390002373188804,2.4667046428739456,4058.9616014910475
346,1751,2,3,1728.7670069901549,1152.5281150652427,69.18441508742401,6.517564525273985,127.48153460174102,16.65077000056552,16.533508679672707,,3.216793012695891,2.239283193471857,2.4608531116303602,4058.971601491054
347,1751,2,3,1728.7500001075248,1154.1053182035223,69.184415405696,6.5172779980068904,127.47219298219231,16.652537242926623,16.534007176881577,,3.2171136380035397,2.2395662488449046,2.455002015317754,4058.981601491061
348,1751,2,3,1728.7329707790523,1155.682387609135,69.184415710912,6.5169972073390445,127.46285145718292,16.654303905491005,16.53450475908878,,3.217434269058565,2.2398494040146053,2.4491510717922944,4058.9916014910677
349,1751,2,3,1728.715920080842,1157.2593282070843,69.184416,6.5167220894161115,127.45350999999995,16.656070000000003,16.535,,3.217754905829,2.24013265950481,2.4433,4059.0016014910743
350,1751,2,3,1728.6988490563829,1158.836143940599,69.184416270912,6.516452574510758,127.44416858968106,16.657835536847156,16.535491774792174,,3.218075548327667,2.2404160158959816,2.437448602080583,4059.011601491081
351,1751,2,3,1728.6817586254467,1160.4128339500744,69.184416525696,6.516188569562148,127.43482723348461,16.659600520047434,16.535980164248308,,3.2183961965673826,2.2406994738368424,2.4315970162179243,4059.021601491087
352,1751,2,3,1728.6646496787826,1161.9893959552296,69.184416767424,6.515929975712558,127.42548594702954,16.66136495177464,16.536465550484905,,3.218716850516166,2.240983033953574,2.4257454654244217,4059.031601491093
353,1751,2,3,1728.6475231034108,1163.5658279697154,69.18441699916801,6.5156766940555855,127.41614474419477,16.663128834531253,16.53694831570918,,3.2190375102017645,2.2412666969251647,2.419894171622546,4059.0416014910993
354,1751,2,3,1728.6303797890394,1165.1421277137704,69.18441722400001,6.515428625732513,127.4068036405993,16.664892170491186,16.537428842038167,,3.2193581755921965,2.2415504633777763,2.414043357824667,4059.051601491105
355,1751,2,3,1728.6132206216337,1166.7182932015662,69.18441744499201,6.515185671837918,127.39746265012187,16.66665496215681,16.537907511678636,,3.2196788467152095,2.2418343339904183,2.408193245953325,4059.0616014911107
356,1751,2,3,1728.59604648986,1168.294322153831,69.184417665216,6.514947733512116,127.38812178838168,16.668417211702113,16.538384706748,,3.2199995235388217,2.2421183093892316,2.40234405902078,4059.071601491117
357,1751,2,3,1728.5788582786395,1169.8702125852144,69.18441788774402,6.514714711850633,127.37878106925747,16.670178921629375,16.538860809452714,,3.2203202060907805,2.2424023902532446,2.396496018949723,4059.081601491122
358,1751,2,3,1728.5616568755866,1171.445962216979,69.18441811564801,6.514486507992858,127.36944050836836,16.67194009411268,16.539336201910427,,3.220640894339103,2.2426865772085804,2.390649348752221,4059.091601491128
359,1751,2,3,1728.544443164576,1173.0215690642146,69.18441835200001,6.514263023035223,127.36010011959324,16.673700731654197,16.539811266327437,,3.22096158831154,2.242970870934286,2.3848042703512005,4059.101601491134
360,1751,2,3,1728.5272180321845,1174.5970308487258,69.18441859987199,6.51404415811623,127.35075991855105,16.675460836428098,16.540286384821485,,3.2212822879761056,2.243255272056465,2.3789610067584515,4059.1116014911404
361,1751,2,3,1728.5099823612418,1176.1723455860244,69.184418862336,6.513829814333178,127.34141991912092,16.677220410936435,16.540761939598838,,3.2216029933605514,2.2435397812541837,2.3731197798972183,4059.1216014911465
362,1751,2,3,1728.4927371589345,1177.7475110793328,69.184419142336,6.513619889289645,127.33208013659994,16.678979458141892,16.541238302682157,,3.221923704432891,2.2438243991555615,2.367280808271886,4059.1316014911527
363,1751,2,3,1728.4754862269397,1179.3225272857946,69.18441943987202,6.513414199265922,127.32274057714616,16.68073799946811,16.541715613996807,,3.2222444212208727,2.244109126488528,2.361444205636963,4059.1416014911597
364,1751,2,3,1728.4582361679534,1180.8973957282649,69.18441975200001,6.513212479297262,127.31340124125842,16.682496074144375,16.542193781193394,,3.2225651436925027,2.2443939639747974,2.355609983172244,4059.1516014911667
365,1751,2,3,1728.4409937027472,1182.472118301935,69.184420075648,6.513014460846883,127.30406212737378,16.684253722515923,16.542672701916427,,3.222885871875525,2.2446789123911626,2.3497781464635463,4059.1616014911733
366,1751,2,3,1728.4237655549764,1184.0466966066278,69.184420407744,6.512819875415249,127.29472323566917,16.686010984600546,16.543152273721326,,3.2232066057379436,2.244963972461352,2.343948702183172,4059.171601491181
367,1751,2,3,1728.4065584447408,1185.621132533402,69.184420745216,6.512628454466238,127.28538456458239,16.687767900743392,16.543632394252736,,3.2235273453075055,2.245249144962181,2.3381216559173845,4059.181601491188
368,1751,2,3,1728.3893790949778,1187.1954276781482,69.184421084992,6.512439929499703,127.27604611429011,16.68952451096231,16.54411296106596,,3.2238480905522144,2.2455344306173566,2.332297014338041,4059.191601491195
369,1751,2,3,1728.3722342251165,1188.7695839279218,69.184421424,6.512254031980085,127.26670788323017,16.691280855602404,16.54459387180573,,3.224168841499817,2.2458198302037133,2.32647478303185,4059.201601491202
370,1751,2,3,1728.3551305574038,1190.3436028746341,69.18442175916799,6.51207049340672,127.25736987157933,16.693036974681572,16.545075024027284,,3.224489598118314,2.2461053444449384,2.320654968670221,4059.211601491209
371,1751,2,3,1728.3380748105944,1191.917486401305,69.184422087424,6.511889045244519,127.24803207777563,16.694792908544848,16.545556315375407,,3.224810360435456,2.246390974117888,2.314837576840313,4059.221601491216
372,1751,2,3,1728.3210737062705,1193.4912360958613,69.184422405696,6.511709418992402,127.23869450199605,16.69654869721019,16.546037643405295,,3.2251311284192434,2.246676719946226,2.3090226142130836,4059.231601491223
373,1751,2,3,1728.3041339625097,1195.0648538373644,69.184422710912,6.511531346115641,127.22935714267841,16.698304381022584,16.546518905761765,,3.2254519020974244,2.246962582706833,2.3032100863761444,4059.2416014912296
374,1751,2,3,1728.2872623002318,1196.6383412097377,69.184423,6.511354558112844,127.22002,16.70006,16.547,,3.225772681438,2.24724856312335,2.2974,4059.2516014912367
375,1751,2,3,1728.2704639852539,1198.2117000172168,69.18442327091199,6.5111787841477256,127.21068307095258,16.701815586131406,16.547480845382083,,3.2260934664537824,2.2475346619722067,2.291592318757553,4059.2616014912433
376,1751,2,3,1728.2537384737466,1199.7849320724258,69.18442352569599,6.51100374414424,127.20134634500398,16.703571138308735,16.547961447728724,,3.2264142571575842,2.2478208800812682,2.2857868375799546,4059.271601491249
377,1751,2,3,1728.2370837722221,1201.358038970388,69.184423767424,6.510829155740781,127.19200981104568,16.705326646904403,16.548441834433152,,3.2267350535174044,2.248107218251268,2.279983310023774,4059.281601491255
378,1751,2,3,1728.2204978845384,1202.9310225991749,69.18442399916799,6.510654736543165,127.18267345622964,16.707082102617818,16.548922032978115,,3.2270558555609936,2.2483936773362605,2.274181488564389,4059.291601491261
379,1751,2,3,1728.2039788181296,1204.5038845537488,69.184424224,6.5104802041897285,127.17333726944725,16.708837495821427,16.549402070756873,,3.22737666325635,2.248680258136956,2.2683811267580256,4059.301601491267
380,1751,2,3,1728.187524577796,1206.0766267220342,69.18442444499199,6.5103052762862905,127.16400123785068,16.71059281721463,16.549881975252145,,3.227697476631226,2.2489669615074335,2.262581977080359,4059.3116014912725
381,1751,2,3,1728.1711331718711,1207.649250698959,69.18442466521599,6.510129670471236,127.1546653503311,16.712348057169855,16.55036177385723,,3.228018295653617,2.249253788248381,2.2567837930873638,4059.321601491278
382,1751,2,3,1728.1548026061096,1209.2217583722897,69.184424887744,6.509953104350286,127.14532959404102,16.714103206386497,16.550841494054804,,3.2283391203512783,2.2495407392138986,2.2509863272549184,4059.3316014912843
383,1751,2,3,1728.1385308897507,1210.7941513369049,69.184425115648,6.509775295561976,127.13599395787146,16.715858255237023,16.551321163238192,,3.2286599506922045,2.249827815204651,2.2451893331388426,4059.34160149129
384,1751,2,3,1728.1223160294787,1212.3664314804769,69.184425352,6.509595961711823,127.12665842897495,16.71761319442079,16.551800808890068,,3.2289807867041493,2.2501150170747635,2.239392563215124,4059.3516014912957
385,1751,2,3,1728.1061560354485,1213.9386003978245,69.184425599872,6.509414820438619,127.11732299624252,16.71936801431028,16.55228045840375,,3.229301628355108,2.2504023456248756,2.2335957710395187,4059.3616014913023
386,1751,2,3,1728.0900489152752,1215.5106599764913,69.184425862336,6.5092315893475705,127.1079876468269,16.721122705604838,16.552760139261913,,3.229622475672835,2.250689801709137,2.2277987090880313,4059.3716014913084
387,1751,2,3,1728.0739928331739,1217.0826117393558,69.184426142336,6.509045984126034,127.0986523702414,16.7228772594657,16.55323987813308,,3.2299433286253247,2.250977386128892,2.2220011437162666,4059.381601491315
388,1751,2,3,1728.0579894730058,1218.654455848917,69.18442643987201,6.508857675535605,127.08931716857012,16.724631685521647,16.553719685104948,,3.230264187240332,2.2512650997557926,2.216203134595876,4059.3916014913216
389,1751,2,3,1728.0420440435148,1220.2261905211649,69.18442675200001,6.508666289481325,127.07998205994589,16.726386011215396,16.554199553505626,,3.2305850514858454,2.2515529434246644,2.2104050368743082,4059.401601491328
390,1751,2,3,1728.0261619027835,1221.797814192189,69.184427075648,6.508471449881055,127.07064706138452,16.728140265105182,16.554679476027815,,3.230905921389619,2.2518409180246626,2.204607217418885,4059.411601491335
