,sector,camera,ccd,column,row,tdb-ut,pixels_per_hour,ra,dec,vmag,hmag,sun_distance,obs_distance,phase_angle,time
328,1751,2,3,1729.0619217780638,1124.1140360623804,69.18440999916801,6.5238322339831205,127.64969837059704,16.618816949064335,16.525628818928528,,3.211021324242863,2.234203217616799,2.5608887944724774,4058.7908007455235
329,1751,2,3,1729.0455346532367,1125.694349166714,69.18441022399999,6.523430825108049,127.64035135688407,16.62059665145314,16.526017717886372,,3.211341844413685,2.2344845663196784,2.555016003996637,4058.8008007453022
330,1751,2,3,1729.0290984218107,1127.274475384707,69.184410444992,6.5230360577709945,127.63100469794422,16.622375562947,16.526403796216222,,3.2116623703696674,2.2347660056429213,2.549144706132702,4058.810800745547
331,1751,2,3,1729.0126149740552,1128.8544153545372,69.18441066521599,6.5226479264189345,127.62165839356824,16.624153694858492,16.526789304712107,,3.2119829020788617,2.2350475360133566,2.5432746457162945,4058.8208007453263
332,1751,2,3,1728.9960861970853,1130.4341700079501,69.184410887744,6.522266425425932,127.61231244180605,16.625931058831476,16.527176494240027,,3.2123034395690246,2.2353291579102437,2.53740556648952,4058.8308007455707
333,1751,2,3,1728.9795139809792,1132.0137399816879,69.18441111564799,6.52189154923773,127.60296684244851,16.627707666178672,16.527567615593917,,3.212623982808207,2.235610871760392,2.5315372132877934,4058.84080074535
334,1751,2,3,1728.9629002126255,1133.593126206008,69.184411352,6.5215232922296265,127.59362159354565,16.629483528543783,16.527964919640308,,3.2129445318241645,2.23589267804308,2.5256693298533803,4058.850800745595
335,1751,2,3,1728.9462467818998,1135.1723293162531,69.18441159987199,6.521161648846129,127.58427669488822,16.631258657239673,16.528370657172175,,3.213265086584948,2.2361745771851003,2.5198016610215848,4058.860800745374
336,1751,2,3,1728.9295555754768,1136.751350241168,69.184411862336,6.52080661346377,127.57493214452656,16.633033063909878,16.52878707905742,,3.213585647118314,2.2364565696657466,2.513933950534735,4058.8708007456194
337,1751,2,3,1728.912828475404,1138.330189658903,69.18441214233599,6.520458179173355,127.56558794198038,16.634806759876298,16.529216359481453,,3.2139062133923133,2.2367386559138196,2.5080659538776042,4058.880800745399
